Date,Open,High,Low,Close,Volume,Change,20d_MA
2016-10-10,134000,135000,131000,133500,687120,-0.02197802197802201,138575.0
2016-10-11,135000,135500,133500,134500,355273,0.0074906367041198685,138350.0
2016-10-12,134500,137000,133500,136500,418529,0.014869888475836479,138225.0
2016-10-13,136500,137000,133500,134000,444173,-0.01831501831501836,137950.0
2016-10-14,133500,135000,133000,133000,385561,-0.007462686567164201,137675.0
2016-10-17,134500,136500,133000,133000,552827,0.0,137400.0
2016-10-18,133500,135500,132500,134500,357363,0.011278195488721776,137275.0
2016-10-19,134500,135500,132500,133000,474445,-0.01115241635687736,137000.0
2016-10-20,133500,134000,131500,132000,411425,-0.007518796992481258,136700.0
2016-10-21,132500,135000,132000,133500,375157,0.011363636363636465,136475.0
2016-10-24,134500,134500,133500,134500,256889,0.0074906367041198685,136100.0
2016-10-25,135000,139500,134500,138000,863431,0.026022304832713727,135975.0
2016-10-26,137500,138500,135000,137500,551856,-0.0036231884057971175,135775.0
2016-10-27,139000,139500,135500,138000,503571,0.0036363636363636598,135750.0
2016-10-28,138000,141500,137500,140500,708752,0.018115942028985588,135800.0
2016-10-31,139000,141000,139000,140000,394472,-0.003558718861209953,136025.0
2016-11-01,141000,141500,140000,141500,436941,0.010714285714285676,136150.0
2016-11-02,141000,141500,139500,139500,655976,-0.014134275618374548,136125.0
2016-11-03,139500,140000,136000,136500,520972,-0.021505376344086002,136000.0
2016-11-04,136500,137000,135500,136000,345493,-0.00366300366300365,135975.0
2016-11-07,137500,138000,136000,137000,388228,0.007352941176470562,136150.0
2016-11-08,137500,139500,137000,138500,341446,0.010948905109489093,136350.0
2016-11-09,138000,140000,130500,134000,1054746,-0.032490974729241895,136225.0
2016-11-10,135000,135000,129000,129000,1253550,-0.03731343283582089,135975.0
2016-11-11,130000,132000,130000,131500,571291,0.019379844961240345,135900.0
2016-11-14,132000,134000,131000,132000,369913,0.0038022813688212143,135850.0
2016-11-15,131500,132000,129500,130500,416685,-0.011363636363636354,135650.0
2016-11-16,130500,133500,130000,131000,379475,0.003831417624521105,135550.0
2016-11-17,131000,133000,131000,132000,217101,0.007633587786259444,135550.0
2016-11-18,131500,132000,129500,129500,282286,-0.018939393939393923,135350.0
2016-11-21,130000,133500,129500,133500,392922,0.030888030888030826,135300.0
2016-11-22,133500,134500,132500,133500,366844,0.0,135075.0
2016-11-23,134500,135000,132500,134000,292727,0.0037453183520599342,134900.0
2016-11-24,133500,136000,133000,135000,340767,0.00746268656716409,134750.0
2016-11-25,135500,136000,134500,136000,180033,0.007407407407407307,134525.0
2016-11-28,135000,136000,133500,135000,256341,-0.007352941176470562,134275.0
2016-11-29,133000,135500,133000,134500,312216,-0.0037037037037036535,133925.0
2016-11-30,133500,134500,132500,133000,1188767,-0.01115241635687736,133600.0
2016-12-01,133000,135500,132000,132000,478362,-0.007518796992481258,133375.0
2016-12-02,134000,136000,133000,133500,403575,0.011363636363636465,133250.0
2016-12-05,134500,135500,133000,134000,244209,0.0037453183520599342,133100.0
2016-12-06,135500,137000,135000,136500,374760,0.018656716417910557,133000.0
2016-12-07,138000,138000,136500,136500,279131,0.0,133125.0
2016-12-08,138500,142000,138000,142000,889649,0.04029304029304037,133775.0
2016-12-09,142000,145000,141000,144000,647418,0.014084507042253502,134400.0
2016-12-12,146000,148000,143500,144500,378077,0.003472222222222321,135025.0
2016-12-13,144500,145000,142500,145000,283933,0.0034602076124568004,135750.0
2016-12-14,144500,145000,142000,143500,261384,-0.010344827586206917,136375.0
2016-12-15,142000,143000,141000,142000,285737,-0.010452961672473893,136875.0
2016-12-16,141000,142000,139000,139500,523767,-0.017605633802816878,137375.0
2016-12-19,140000,142500,139500,142000,293868,0.017921146953405076,137800.0
2016-12-20,141500,144000,141500,143500,399511,0.010563380281690238,138300.0
2016-12-21,144500,144500,142500,143500,310188,0.0,138775.0
2016-12-22,143000,143000,141000,142000,334338,-0.010452961672473893,139125.0
2016-12-23,143000,144000,142000,144000,357914,0.014084507042253502,139525.0
2016-12-26,143500,145000,143500,144500,206099,0.003472222222222321,140000.0
2016-12-27,144500,145000,144000,144500,337224,0.0,140500.0
2016-12-28,142500,144000,141500,143500,377265,-0.00692041522491349,141025.0
2016-12-29,142500,146000,142000,146000,381283,0.017421602787456525,141725.0
2017-01-02,146000,150500,145500,150000,545854,0.027397260273972712,142550.0
2017-01-03,151000,154000,150000,153000,723246,0.020000000000000018,143500.0
2017-01-04,152500,155000,152000,154000,601826,0.006535947712418277,144375.0
2017-01-05,154000,154500,152000,153500,391604,-0.0032467532467532756,145225.0
2017-01-06,152000,153000,149500,151000,366091,-0.016286644951140072,145675.0
2017-01-09,151000,151500,149500,150500,325146,-0.0033112582781457123,146000.0
2017-01-10,150500,153000,150500,152000,411333,0.009966777408637828,146375.0
2017-01-11,150500,150500,147500,148500,675973,-0.023026315789473673,146550.0
2017-01-12,148000,151000,147500,148000,433867,-0.0033670033670033517,146775.0
2017-01-13,149000,150000,148500,149000,293211,0.006756756756756799,147125.0
2017-01-16,148500,151000,148500,150500,316413,0.010067114093959662,147675.0
2017-01-17,150000,154000,149500,153500,487662,0.019933554817275656,148250.0
2017-01-18,153000,155500,151000,154000,395088,0.0032573289902280145,148775.0
2017-01-19,153000,153500,151000,152000,255111,-0.012987012987012991,149200.0
2017-01-20,150500,153500,150000,153000,310228,0.006578947368421018,149750.0
2017-01-23,151500,152000,148500,149000,424036,-0.02614379084967322,150000.0
2017-01-24,149500,149500,145500,146500,518186,-0.016778523489932917,150100.0
2017-01-25,146500,147500,141500,142000,749465,-0.030716723549488067,149975.0
2017-01-26,143500,143500,139500,142500,632413,0.0035211267605634866,149925.0
2017-01-31,141500,142500,139000,139500,574213,-0.021052631578947323,149600.0
2017-02-01,140000,141000,139000,139500,446549,0.0,149075.0
2017-02-02,140000,140000,135500,136000,610731,-0.02508960573476704,148225.0
2017-02-03,136500,139000,136000,137500,453051,0.011029411764705843,147400.0
2017-02-06,139000,139500,136000,136500,293891,-0.0072727272727273196,146550.0
2017-02-07,138000,140000,137500,139000,395508,0.01831501831501825,145950.0
2017-02-08,138500,139500,137000,139000,415346,0.0,145375.0
2017-02-09,139500,141000,137500,140000,513611,0.007194244604316502,144775.0
2017-02-10,141000,141500,139000,141000,330000,0.0071428571428571175,144400.0
2017-02-13,141500,141500,139000,139500,320997,-0.010638297872340385,143975.0
2017-02-14,140000,140500,139500,140000,295126,0.0035842293906809264,143525.0
2017-02-15,141500,146500,141500,145500,682399,0.03928571428571437,143275.0
2017-02-16,146500,151500,146500,150500,991329,0.03436426116838498,143125.0
2017-02-17,149500,151000,148000,150500,484244,0.0,142950.0
2017-02-20,149500,151000,149500,150000,239916,-0.0033222591362126463,142850.0
2017-02-21,150000,151500,149000,151000,324845,0.006666666666666599,142750.0
2017-02-22,150000,151000,147000,149500,423978,-0.009933774834437137,142775.0
2017-02-23,150500,150500,145000,146000,790326,-0.02341137123745818,142750.0
2017-02-24,147000,148500,146500,148000,248236,0.013698630136986356,143050.0
2017-02-27,148500,149000,146500,148500,183801,0.0033783783783782884,143350.0
2017-02-28,148500,150000,146500,149500,476960,0.006734006734006703,143850.0
2017-03-02,149000,150500,148500,148500,660227,-0.006688963210702337,144300.0
2017-03-03,147000,148000,141000,142000,774281,-0.043771043771043794,144600.0
2017-03-06,141500,145000,140000,145000,568168,0.021126760563380254,144975.0
2017-03-07,143000,146000,143000,144000,361237,-0.006896551724137945,145350.0
2017-03-08,144000,144500,141500,144500,430524,0.003472222222222321,145625.0
2017-03-09,144500,145500,143500,145000,516356,0.0034602076124568004,145925.0
2017-03-10,145000,146500,143500,146000,418788,0.006896551724137945,146225.0
2017-03-13,145500,147000,145000,146000,346033,0.0,146475.0
2017-03-14,147000,149500,146500,149000,402984,0.020547945205479534,146950.0
2017-03-15,148500,149500,147500,149500,415972,0.003355704697986628,147425.0
2017-03-16,151500,152500,149000,151500,511511,0.013377926421404673,147725.0
2017-03-17,152500,152500,150000,151500,384871,0.0,147775.0
2017-03-20,152500,157000,151500,156500,753898,0.03300330033003296,148075.0
2017-03-21,158000,171000,157500,170000,2100147,0.08626198083067083,149075.0
2017-03-22,167500,170500,165500,170000,1095061,0.0,150025.0
2017-03-23,168500,169000,165000,165000,786599,-0.02941176470588236,150800.0
2017-03-24,164000,167000,162000,164000,619369,-0.0060606060606061,151700.0
2017-03-27,162000,163000,159000,162000,556569,-0.012195121951219523,152400.0
2017-03-28,162000,163000,158500,160000,528384,-0.012345679012345734,152975.0
2017-03-29,159500,160500,155500,156000,594310,-0.025000000000000022,153300.0
2017-03-30,156500,160000,156500,158500,541928,0.01602564102564097,153800.0
2017-03-31,159500,160500,156000,157500,518427,-0.006309148264984188,154575.0
2017-04-03,156500,157000,153000,156500,568863,-0.006349206349206327,155150.0
2017-04-04,154000,155000,150000,152000,693275,-0.028753993610223683,155550.0
2017-04-05,152500,152500,147000,150000,738030,-0.013157894736842146,155825.0
2017-04-06,149500,150000,147500,148000,543682,-0.013333333333333308,155975.0
2017-04-07,148000,149500,144000,144500,814773,-0.023648648648648685,155900.0
2017-04-10,145000,147500,144500,146000,372373,0.01038062283737018,155900.0
2017-04-11,145000,145000,142500,142500,460813,-0.023972602739726012,155575.0
2017-04-12,143000,144500,141500,141500,467523,-0.007017543859649145,155175.0
2017-04-13,143000,144500,141000,142500,537212,0.007067137809187329,154725.0
2017-04-14,141500,143000,141000,142500,235481,0.0,154275.0
2017-04-17,142500,144000,141000,144000,354807,0.010526315789473717,153650.0
2017-04-18,144500,144500,141000,141000,512212,-0.02083333333333337,152200.0
2017-04-19,140000,140500,136500,137000,1028582,-0.028368794326241176,150550.0
2017-04-20,137000,142000,137000,141500,837678,0.03284671532846706,149375.0
2017-04-21,142000,143000,141000,141500,520179,0.0,148250.0
2017-04-24,141000,141500,139500,141500,474698,0.0,147225.0
2017-04-25,142500,146500,142000,144500,670239,0.021201413427561766,146450.0
2017-04-26,145000,152000,144500,151000,1288277,0.04498269896193774,146200.0
2017-04-27,150000,151000,146500,147000,747891,-0.026490066225165587,145625.0
2017-04-28,144000,146000,142500,144000,686242,-0.020408163265306145,144950.0
2017-05-02,143000,152000,143000,151000,883476,0.04861111111111116,144675.0
2017-05-04,150500,153000,149500,152000,559335,0.0066225165562914245,144675.0
2017-05-08,152000,158000,150500,158000,754482,0.03947368421052633,145075.0
2017-05-10,157000,160500,155500,156500,902973,-0.009493670886076,145500.0
2017-05-11,159000,159000,156500,157500,683676,0.006389776357827559,146150.0
